file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,155,css,527d3536,JayManjrekar0827,2026-04-11,20:46:09,-07:00,2026-04-11T20:46:09-07:00,1,14
style.css,156,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,15
style.css,157,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,23
style.css,158,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,70
style.css,159,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,28
style.css,160,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,20
style.css,161,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,17
style.css,162,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,0,0
style.css,163,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,0,0
style.css,164,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,0,14
style.css,165,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,18
style.css,166,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,0,0
style.css,167,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,0,0
style.css,168,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,0,9
style.css,169,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,23
style.css,170,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,15
style.css,171,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,0,0
style.css,172,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,0,0
style.css,173,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,0,23
style.css,174,css,76628f2d,JayManjrekar0827,2026-04-11,20:44:30,-07:00,2026-04-11T20:44:30-07:00,1,25
style.css,175,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,29
style.css,176,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,27
